ID	SPIKEIN_ID	subgroup	Mix_1	Mix_2	expected	log2(Mix_1/Mix_2)	T1	T2	T1/T2	log2(T1/Mix_2)	log2(T2/Mix_2)
1	SPIKEIN-00130	A	30000	7500	4	2	24375	13125	1.857142857	1.700439718	0.807354922
2	SPIKEIN-00004	A	7500	1875	4	2	6093.75	3281.25	1.857142857	1.700439718	0.807354922
3	SPIKEIN-00136	A	1875	468.75	4	2	1523.4375	820.3125	1.857142857	1.700439718	0.807354922
4	SPIKEIN-00108	A	937.5	234.375	4	2	761.71875	410.15625	1.857142857	1.700439718	0.807354922
5	SPIKEIN-00116	A	468.75	117.1875	4	2	380.859375	205.078125	1.857142857	1.700439718	0.807354922
6	SPIKEIN-00092	A	234.375	58.59375	4	2	190.4296875	102.5390625	1.857142857	1.700439718	0.807354922
7	SPIKEIN-00095	A	117.1875	29.296875	4	2	95.21484375	51.26953125	1.857142857	1.700439718	0.807354922
8	SPIKEIN-00131	A	117.1875	29.296875	4	2	95.21484375	51.26953125	1.857142857	1.700439718	0.807354922
9	SPIKEIN-00062	A	58.59375	14.6484375	4	2	47.60742188	25.63476563	1.857142857	1.700439718	0.807354922
10	SPIKEIN-00019	A	29.296875	7.32421875	4	2	23.80371094	12.81738281	1.857142857	1.700439718	0.807354922
11	SPIKEIN-00144	A	29.296875	7.32421875	4	2	23.80371094	12.81738281	1.857142857	1.700439718	0.807354922
12	SPIKEIN-00170	A	14.6484375	3.66210938	4	2	11.90185547	6.40869141	1.857142856	1.700439716	0.807354921
13	SPIKEIN-00154	A	7.32421875	1.83105469	4	2	5.950927735	3.204345705	1.857142856	1.700439716	0.807354921
14	SPIKEIN-00085	A	7.32421875	1.83105469	4	2	5.950927735	3.204345705	1.857142856	1.700439716	0.807354921
15	SPIKEIN-00028	A	3.66210938	0.91552734	4	2	2.97546387	1.60217285	1.857142861	1.700439725	0.807354927
16	SPIKEIN-00033	A	1.83105469	0.45776367	4	2	1.487731935	0.801086425	1.857142861	1.700439725	0.807354927
17	SPIKEIN-00134	A	1.83105469	0.45776367	4	2	1.487731935	0.801086425	1.857142861	1.700439725	0.807354927
18	SPIKEIN-00147	A	0.91552734	0.22888184	4	2	0.743865965	0.400543215	1.857142843	1.700439689	0.807354904
19	SPIKEIN-00097	A	0.45776367	0.11444092	4	2	0.371932983	0.200271608	1.857142843	1.700439689	0.807354904
20	SPIKEIN-00156	A	0.45776367	0.11444092	4	2	0.371932983	0.200271608	1.857142843	1.700439689	0.807354904
21	SPIKEIN-00123	A	0.22888184	0.05722046	4	2	0.185966495	0.100135805	1.857142857	1.700439718	0.807354922
22	SPIKEIN-00017	A	0.11444092	0.02861023	4	2	0.092983248	0.050067903	1.857142857	1.700439718	0.807354922
23	SPIKEIN-00083	A	0.02861023	0.00715256	4	2	0.023245813	0.012516978	1.857142629	1.700439253	0.807354634
24	SPIKEIN-00096	B	15000	15000	1	0	15000	15000	1	0	0
25	SPIKEIN-00171	B	3750	3750	1	0	3750	3750	1	0	0
26	SPIKEIN-00009	B	937.5	937.5	1	0	937.5	937.5	1	0	0
27	SPIKEIN-00042	B	468.75	468.75	1	0	468.75	468.75	1	0	0
28	SPIKEIN-00060	B	234.375	234.375	1	0	234.375	234.375	1	0	0
29	SPIKEIN-00035	B	117.1875	117.1875	1	0	117.1875	117.1875	1	0	0
30	SPIKEIN-00025	B	58.59375	58.59375	1	0	58.59375	58.59375	1	0	0
31	SPIKEIN-00051	B	58.59375	58.59375	1	0	58.59375	58.59375	1	0	0
32	SPIKEIN-00053	B	29.296875	29.296875	1	0	29.296875	29.296875	1	0	0
33	SPIKEIN-00148	B	14.6484375	14.6484375	1	0	14.6484375	14.6484375	1	0	0
34	SPIKEIN-00126	B	14.6484375	14.6484375	1	0	14.6484375	14.6484375	1	0	0
35	SPIKEIN-00034	B	7.32421875	7.32421875	1	0	7.32421875	7.32421875	1	0	0
36	SPIKEIN-00150	B	3.66210938	3.66210938	1	0	3.66210938	3.66210938	1	0	0
37	SPIKEIN-00067	B	3.66210938	3.66210938	1	0	3.66210938	3.66210938	1	0	0
38	SPIKEIN-00031	B	1.83105469	1.83105469	1	0	1.83105469	1.83105469	1	0	0
39	SPIKEIN-00109	B	0.91552734	0.91552734	1	0	0.91552734	0.91552734	1	0	0
40	SPIKEIN-00073	B	0.91552734	0.91552734	1	0	0.91552734	0.91552734	1	0	0
41	SPIKEIN-00158	B	0.45776367	0.45776367	1	0	0.45776367	0.45776367	1	0	0
42	SPIKEIN-00104	B	0.22888184	0.22888184	1	0	0.22888184	0.22888184	1	0	0
