ID	Gene Name	Sample_A_1	Sample_A_2	Sample_A_3	Sample_A_4	Sample_A_Mean	Sample_B_1	Sample_B_2	Sample_B_3	Sample_B_4	Sample_B_Mean	log2FC	DEG	t-test p value	transcript	ensembl_id	entrez_id	symbol	biotype_ensembl	description	alias
1	CYP1A1	0.00861214	0.00874614	0.00827311	0.00819414	0.008456383	0.00243313	0.00173906	0.00173305	0.00097282	0.001719515	2.298038933	Upregulate	0.000000841	NM_000499	ENSG00000140465	1543	CYP1A1	protein_coding	cytochrome P450 family 1 subfamily A member 1	CYP1,P450DXCYP1,P1-450CYP1,P450-CCYP1,CP11|CYP1|P450DX, P1-450, P450-C, CP11|AHH,AHRR,CP11,CYP1,CYPIA1,P1-450,P450-C,P450DX|CYP1A1|AHH,AHRR,CP11,CYP1,CYPIA1,P1-450,P450-C,P450DX
2	EGF	0.02697451	0.03002034	0.02657471	0.03168708	0.02881416	0.00894973	0.01291258	0.00943457	0.00860638	0.009975815	1.530271346	Upregulate	0.0000211	NM_001963	ENSG00000138798	1950	EGF	protein_coding	epidermal growth factor	-|-|-|HOMG4,URG|EGF|HOMG4,URG
3	CIRBP	2.11582723	2.11533357	2.15163454	2.08393148	2.116681705	3.91501304	3.98488495	3.85148424	3.85761165	3.90224847	-0.882501301	NonDE	3.19E-09	NM_001280	ENSG00000099622	1153	CIRBP	protein_coding	cold inducible RNA binding protein	CIRP|-|CIRP|CIRP|CIRBP|CIRP
4	DAPK3	0.19717015	0.20006486	0.16114559	0.19255766	0.187734565	0.20754716	0.20064787	0.20932326	0.2024473	0.204991398	-0.12686907	NonDE	0.149527622	NM_001348	ENSG00000167657	1613	DAPK3	protein_coding	death associated protein kinase 3	ZIP,ZIPK|-|ZIP, ZIPK|DLK,ZIP,ZIPK|DAPK3|DLK,ZIP,ZIPK
5	DHX15	0.11647166	0.11893005	0.10562144	0.11334558	0.113592183	0.05929733	0.06412231	0.06543316	0.06366834	0.063130285	0.847459382	NonDE	0.000004	NM_001358	ENSG00000109606	1665	DHX15	protein_coding	DEAH-box helicase 15	DDX15,HRH2DDX15,DBP1DDX15,PRP43DDX15,PrPp43pDDX15,PRPF43|DDX15|HRH2, DBP1, PRP43, PrPp43p, PRPF43|DBP1,DDX15,PRP43,PRPF43,PrPp43p,hPrp43|DHX15|DBP1,DDX15,PRP43,PRPF43,PrPp43p
6	DNMT1	0.77967947	0.81196767	0.84168829	0.76226022	0.798898913	0.19767007	0.18878568	0.19459311	0.19699499	0.194510963	2.038161499	Upregulate	0.000045	NM_001379	ENSG00000130816	1786	DNMT1	protein_coding	DNA methyltransferase 1	DNMT,MCMTDNMT,CXXC9|DNMT|MCMT, CXXC9|ADCADN,AIM,CXXC9,DNMT,HSN1E,MCMT,m.HsaI|DNMT1|ADCADN,AIM,CXXC9,DNMT,HSN1E,m.HsaI,MCMT
7	EIF4G2	7.14649084	6.76277218	7.65979056	7.17128426	7.18508446	4.25443129	4.47529071	4.28752428	4.37834892	4.3488988	0.724354978	NonDE	0.00000576	NM_001418	ENSG00000110321	1982	EIF4G2	protein_coding	eukaryotic translation initiation factor 4 gamma 2	DAP5,NAT1,p97|-|DAP5, NAT1, p97|AAG1,DAP5,NAT1,P97|EIF4G2|AAG1,DAP5,NAT1,P97
9	FAT2	0.00447435	0.0043205	0.00412419	0.00487811	0.004449288	0.88969014	0.93208187	0.94606953	0.92432078	0.92304058	-7.696675941	Downregulate	0.00000489	NM_001447	ENSG00000086570	2196	FAT2	protein_coding	FAT atypical cadherin 2	MEGF1,CDHF8,HFAT2,CDHR9|-|MEGF1, CDHF8, HFAT2, CDHR9|CDHF8,CDHR9,HFAT2,MEGF1,SCA45|FAT2|CDHF8,CDHR9,HFAT2,MEGF1,SCA45
10	CYR61	0.65991236	0.66509412	0.68998497	0.65406822	0.667264918	0.09392615	0.09248567	0.08682993	0.08485047	0.089523055	2.897928479	Upregulate	5.49E-10	NM_001554	ENSG00000142871	3491	CCN1	protein_coding	cellular communication network factor 1	IGFBP10,GIG1CYR61,GIG1|IGFBP10, CYR61|GIG1|CYR61,GIG1,IGFBP10|CCN1|CYR61,GIG1,IGFBP10
12	COX7A1	0.00290877	0.00230564	0.00222109	0.00177206	0.00230189	0.46515301	0.47452726	0.47124201	0.46437225	0.468823633	-7.670082592	Downregulate	0.000000253	NM_001864	ENSG00000161281	1346	COX7A1	protein_coding	cytochrome c oxidase subunit 7A1	COX7A,COX7AH|COX7A|COX7AH|COX7A,COX7AH,COX7AM|COX7A1|COX7A,COX7AH,COX7AM
