Ensembl	sample_pair	ensembl_id	Gene_name	log2FC	p_value	description	DEG	Gene_type	
ENSG00000000457	D5/D6	D5/D6_ENSG00000000457	SCYL3	0.488299045	0.00086542	SCY1 like pseudokinase 3	NonDE	protein_coding	
ENSG00000000460	D5/D6	D5/D6_ENSG00000000460	C1orf112	0.232595977	0.03847846	chromosome 1 open reading frame 112	NonDE	protein_coding	
ENSG00000000938	D5/D6	D5/D6_ENSG00000000938	FGR	-1.316232422	7.67E-09	FGR proto-oncogene, Src family tyrosine kinase	Downregulate	protein_coding	
ENSG00000001036	D5/D6	D5/D6_ENSG00000001036	FUCA2	-0.417669182	7.87E-05	alpha-L-fucosidase 2	NonDE	protein_coding	
ENSG00000001084	D5/D6	D5/D6_ENSG00000001084	GCLC	0.246333657	0.006625218	glutamate-cysteine ligase catalytic subunit	NonDE	protein_coding	
ENSG00000001167	D5/D6	D5/D6_ENSG00000001167	NFYA	0.233829386	0.001045877	nuclear transcription factor Y subunit alpha	NonDE	protein_coding	
ENSG00000001460	D5/D6	D5/D6_ENSG00000001460	STPG1	-0.210290943	0.062742854	sperm tail PG-rich repeat containing 1	NonDE	protein_coding	
ENSG00000001461	D5/D6	D5/D6_ENSG00000001461	NIPAL3	0.098909928	0.070215733	NIPA like domain containing 3	NonDE	protein_coding	
ENSG00000001497	D5/D6	D5/D6_ENSG00000001497	LAS1L	0.366515842	0.000472745	LAS1 like ribosome biogenesis factor	NonDE	protein_coding	
ENSG00000001561	D5/D6	D5/D6_ENSG00000001561	ENPP4	-0.405813273	0.000171385	ectonucleotide pyrophosphatase/phosphodiesterase 4	NonDE	protein_coding	
ENSG00000001629	D5/D6	D5/D6_ENSG00000001629	ANKIB1	-0.113843245	0.02154312	ankyrin repeat and IBR domain containing 1	NonDE	protein_coding	
ENSG00000001630	D5/D6	D5/D6_ENSG00000001630	CYP51A1	0.104079184	0.030437607	cytochrome P450 family 51 subfamily A member 1	NonDE	protein_coding	
ENSG00000001631	D5/D6	D5/D6_ENSG00000001631	KRIT1	-0.106458239	0.036659587	KRIT1 ankyrin repeat containing	NonDE	protein_coding	
ENSG00000002016	D5/D6	D5/D6_ENSG00000002016	RAD52	0.158771573	0.065206672	RAD52 homolog, DNA repair protein	NonDE	protein_coding	
ENSG00000002330	D5/D6	D5/D6_ENSG00000002330	BAD	-0.228556563	0.045632497	BCL2 associated agonist of cell death	NonDE	protein_coding	
ENSG00000002549	D5/D6	D5/D6_ENSG00000002549	LAP3	0.18089323	0.001403649	leucine aminopeptidase 3	NonDE	protein_coding	
ENSG00000002586	D5/D6	D5/D6_ENSG00000002586	CD99	0.54789467	0.000256647	CD99 molecule (Xg blood group)	NonDE	protein_coding	
ENSG00000002587	D5/D6	D5/D6_ENSG00000002587	HS3ST1	-0.051693994	0.087092	heparan sulfate-glucosamine 3-sulfotransferase 1	NonDE	protein_coding	
ENSG00000002745	D5/D6	D5/D6_ENSG00000002745	WNT16	-0.654978654	0.09947978	Wnt family member 16	NonDE	protein_coding	
ENSG00000002919	D5/D6	D5/D6_ENSG00000002919	SNX11	-0.805121865	1.84E-05	sorting nexin 11	NonDE	protein_coding	
ENSG00000003056	D5/D6	D5/D6_ENSG00000003056	M6PR	0.180311369	0.01616805	mannose-6-phosphate receptor, cation dependent	NonDE	protein_coding	
ENSG00000003096	D5/D6	D5/D6_ENSG00000003096	KLHL13	-2.028348355	2.15E-05	kelch like family member 13	Downregulate	protein_coding	
ENSG00000003147	D5/D6	D5/D6_ENSG00000003147	ICA1	0.542022645	0.022015604	islet cell autoantigen 1	NonDE	protein_coding	
ENSG00000003249	D5/D6	D5/D6_ENSG00000003249	DBNDD1	-0.206020417	0.308791881	dysbindin domain containing 1	NonDE	protein_coding	
ENSG00000003393	D5/D6	D5/D6_ENSG00000003393	ALS2	-0.19641957	0.0163229	alsin Rho guanine nucleotide exchange factor ALS2	NonDE	protein_coding	
ENSG00000003402	D5/D6	D5/D6_ENSG00000003402	CFLAR	-0.96284239	8.57E-09	CASP8 and FADD like apoptosis regulator	Downregulate	protein_coding	
