ensembl_id	Sample	Sample_pair	Gene_name	test_1	test_2	test_3	test_mean	D6_1	D6_2	D6_3	D6_mean	log2FC	DEG	p_value
ENSG00000000938	D5	D5/D6	FGR	0.141656	0.159571	0.137258	0.146161667	0.385446	0.360008	0.391369	0.378941	-1.374406226	Downregulate	0
ENSG00000014257	D5	D5/D6	ACP3	0.000086	0.00007	0.000074	7.66667E-05	0.005385	0.005385	0.004763	0.005177667	-6.076565324	Downregulate	0.0016
ENSG00000049247	D5	D5/D6	UTS2	0.00108	0.001332	0.001309	0.001240333	0.010829	0.009281	0.009097	0.009735667	-2.972787272	Downregulate	0.0036
ENSG00000056558	D5	D5/D6	TRAF1	0.317824	0.335318	0.325403	0.326181667	0.940457	0.916453	0.897531	0.918147	-1.493049777	Downregulate	0
ENSG00000064300	D5	D5/D6	NGFR	0.000271	0.000238	0.000232	0.000247	0.000589	0.000698	0.00067	0.000652333	-1.400125244	Downregulate	0.0003
ENSG00000064655	D5	D5/D6	EYA2	0.00081	0.000866	0.000781	0.000819	0.01311	0.011904	0.011459	0.012157667	-3.891461258	Downregulate	0.0018
ENSG00000066923	D5	D5/D6	STAG3	0.439987	0.457528	0.400877	0.432797333	0.339018	0.394948	0.366614	0.36686	0.238463969	NonDE	0.0471
ENSG00000071575	D5	D5/D6	TRIB2	0.041839	0.043339	0.043704	0.042960667	0.01165	0.00941	0.009395	0.010151667	2.081289406	Upregulate	0
ENSG00000075275	D5	D5/D6	CELSR1	0.024766	0.026636	0.027154	0.026185333	0.005167	0.004292	0.003996	0.004485	2.545565423	Upregulate	0
ENSG00000076356	D5	D5/D6	PLXNA2	0.000629	0.000641	0.000721	0.000663667	0.001099	0.001022	0.001003	0.001041333	-0.649771467	NonDE	0.0008
ENSG00000089199	D5	D5/D6	CHGB	0.000577	0.000419	0.000496	0.000497333	0.000115	0.000091	0.000093	9.96667E-05	2.318899495	Upregulate	0.001
ENSG00000100433	D5	D5/D6	KCNK10	0.001513	0.001352	0.00161	0.001491667	0.001063	0.000969	0.001271	0.001101	0.438075	NonDE	0.0286
ENSG00000106004	D5	D5/D6	HOXA5	0.002521	0.002162	0.001863	0.002182	0.000659	0.000724	0.000568	0.000650333	1.74611841	Upregulate	0.0014
ENSG00000108381	D5	D5/D6	ASPA	0.000915	0.000993	0.000983	0.000963667	0.007739	0.008378	0.008898	0.008338333	-3.113336419	Downregulate	0.002
ENSG00000108821	D5	D5/D6	COL1A1	0.004677	0.004533	0.004821	0.004677	0.012439	0.011708	0.011521	0.011889333	-1.346034945	Downregulate	0
ENSG00000108984	D5	D5/D6	MAP2K6	0.036485	0.040214	0.03966	0.038786333	0.101604	0.132488	0.121139	0.118410333	-1.610180712	Downregulate	0.0116
ENSG00000109158	D5	D5/D6	GABRA4	0.000523	0.000894	0.000625	0.000680667	0.002049	0.002177	0.002191	0.002139	-1.651378022	Downregulate	0.0003
ENSG00000115604	D5	D5/D6	IL18R1	0.276714	0.292147	0.251698	0.273519667	0.094047	0.111509	0.08836	0.097972	1.481201546	Upregulate	0.0002
ENSG00000115616	D5	D5/D6	SLC9A2	0.013711	0.01565	0.015915	0.015092	0.001321	0.001203	0.001193	0.001239	3.606971585	Upregulate	0.0024
ENSG00000115828	D5	D5/D6	QPCT	0.003417	0.003948	0.003308	0.003557667	0.009196	0.009123	0.0086	0.008973	-1.334607713	Downregulate	0
ENSG00000118508	D5	D5/D6	RAB32	0.00782	0.006705	0.008234	0.007586333	0.017694	0.017958	0.015138	0.01693	-1.158091063	Downregulate	0.0008
ENSG00000121594	D5	D5/D6	CD80	0.720831	0.664174	0.508505	0.63117	1.174951	1.242719	1.237304	1.218324667	-0.948797809	NonDE	0.0009
ENSG00000124557	D5	D5/D6	BTN1A1	0.000141	0.000133	0.000131	0.000135	0.001295	0.00155	0.001505	0.00145	-3.397622489	Downregulate	0.0072
ENSG00000126010	D5	D5/D6	GRPR	0.002808	0.003382	0.002888	0.003026	0.010732	0.009789	0.009372	0.009964333	-1.7192987	Downregulate	0.0001
ENSG00000127329	D5	D5/D6	PTPRB	0.000459	0.000473	0.000456	0.000462667	0.002102	0.001827	0.002088	0.002005667	-2.115338988	Downregulate	0.0033
ENSG00000132002	D5	D5/D6	DNAJB1	0.095962	0.082922	0.066694	0.081859333	0.510919	0.440547	0.393672	0.448379333	-2.453503365	Downregulate	0.0005
ENSG00000134061	D5	D5/D6	CD180	0.031104	0.028774	0.027966	0.029281333	0.119352	0.132256	0.125791	0.125799667	-2.103065667	Downregulate	0
ENSG00000134215	D5	D5/D6	VAV3	0.017655	0.023026	0.018587	0.019756	0.004346	0.00479	0.003521	0.004219	2.227250529	Upregulate	0.0008
ENSG00000136244	D5	D5/D6	IL6	0.000681	0.000856	0.000751	0.000762667	0.011955	0.012155	0.010767	0.011625667	-3.930073007	Downregulate	0.0014
ENSG00000139687	D5	D5/D6	RB1	0.164695	0.153922	0.174351	0.164322667	0.314239	0.381944	0.356515	0.350899333	-1.094527203	Downregulate	0.0008
ENSG00000142871	D5	D5/D6	CCN1	0.00134	0.001643	0.001766	0.001583	0.003076	0.003371	0.003454	0.003300333	-1.059774783	Downregulate	0.0005
ENSG00000163040	D5	D5/D6	CCDC74A	0.073562	0.069358	0.069233	0.070717667	0.024874	0.021159	0.021417	0.022483333	1.653208311	Upregulate	0
ENSG00000163814	D5	D5/D6	CDCP1	0.00112	0.001237	0.001143	0.001166667	0.002604	0.002514	0.002333	0.002483667	-1.090092241	Downregulate	0.0001
ENSG00000164458	D5	D5/D6	TBXT	0.009332	0.00897	0.010006	0.009436	0.019695	0.020839	0.020397	0.020310333	-1.10597619	Downregulate	0
ENSG00000165029	D5	D5/D6	ABCA1	0.000601	0.000522	0.000455	0.000526	0.001592	0.001866	0.001793	0.001750333	-1.734273654	Downregulate	0.0002
ENSG00000166211	D5	D5/D6	SPIC	0.002354	0.00157	0.001891	0.001938333	0.013066	0.014425	0.012964	0.013485	-2.798476883	Downregulate	0
ENSG00000168938	D5	D5/D6	PPIC	0.001279	0.001302	0.001479	0.001353333	0.003992	0.003436	0.003517	0.003648333	-1.430884789	Downregulate	0.0002
ENSG00000169860	D5	D5/D6	P2RY1	0.001186	0.001197	0.001234	0.001205667	0.002847	0.002961	0.002989	0.002932333	-1.28224072	Downregulate	0
ENSG00000170627	D5	D5/D6	GTSF1	0.006821	0.006416	0.005499	0.006245333	0.015528	0.012599	0.014441	0.014189333	-1.184025684	Downregulate	0.0011
ENSG00000173110	D5	D5/D6	HSPA6	0.008841	0.009121	0.007734	0.008565333	0.274137	0.302743	0.256204	0.277694667	-5.018870319	Downregulate	0.0025
ENSG00000173208	D5	D5/D6	ABCD2	0.006838	0.007435	0.006954	0.007075667	0.023951	0.030595	0.025355	0.026633667	-1.912350877	Downregulate	0.0101
ENSG00000176749	D5	D5/D6	CDK5R1	0.236078	0.260027	0.244708	0.246937667	0.111909	0.129193	0.112018	0.117706667	1.068950313	Upregulate	0.0001
ENSG00000177606	D5	D5/D6	JUN	0.052256	0.058897	0.056523	0.055892	0.474825	0.45523	0.49819	0.476081667	-3.098666901	Downregulate	0.0001
ENSG00000179241	D5	D5/D6	LDLRAD3	0.029198	0.027341	0.029118	0.028552333	0.001998	0.002097	0.00229	0.002128333	3.745850658	Upregulate	0.0004
ENSG00000180613	D5	D5/D6	GSX2	0.000869	0.000893	0.00097	0.000910667	0.000392	0.000488	0.00045	0.000443333	1.03842949	Upregulate	0.0003
ENSG00000186340	D5	D5/D6	THBS2	0.000847	0.000745	0.00099	0.000860667	0.000601	0.000558	0.000735	0.000631333	0.446504429	NonDE	0.0614
ENSG00000188641	D5	D5/D6	DPYD	0.018006	0.024504	0.022383	0.021631	0.221882	0.272753	0.349186	0.281273667	-3.700814285	Downregulate	0.0195
ENSG00000204434	D5	D5/D6	POTEKP	0.011549	0.009736	0.010267	0.010517333	0.003011	0.002056	0.002418	0.002495	2.075845443	Upregulate	0.0002
ENSG00000211599	D5	D5/D6	IGKV5-2	0.000816	0.001037	0.000806	0.000886333	0.006071	0.006361	0.004791	0.005741	-2.69543676	Downregulate	0.0085
ENSG00000211637	D5	D5/D6	IGLV4-69	0.001763	0.001989	0.002013	0.001921667	0.224181	0.243861	0.2102	0.226080667	-6.878491616	Downregulate	0.0019
ENSG00000211638	D5	D5/D6	IGLV8-61	0.108272	0.097574	0.107056	0.104300667	0.0329	0.023723	0.025992	0.027538333	1.921223413	Upregulate	0.0001
ENSG00000211640	D5	D5/D6	IGLV6-57	0.003037	0.002925	0.003042	0.003001333	3.156954	3.307024	3.309087	3.257688333	-10.08408255	Downregulate	0.0002
ENSG00000211645	D5	D5/D6	IGLV1-50	0.044363	0.047792	0.052531	0.048228667	0.860711	0.861785	0.901313	0.874603	-4.180674373	Downregulate	0
ENSG00000211648	D5	D5/D6	IGLV1-47	0.275916	0.256477	0.270238	0.267543667	1.221878	1.09013	0.987738	1.099915333	-2.03954756	Downregulate	0.0063
ENSG00000211651	D5	D5/D6	IGLV1-44	0.214562	0.175272	0.219146	0.202993333	1.565692	1.219847	1.451053	1.412197333	-2.798436445	Downregulate	0.0062
ENSG00000211653	D5	D5/D6	IGLV1-40	0.033651	0.035134	0.031034	0.033273	0.644745	0.792619	0.652704	0.696689333	-4.388091173	Downregulate	0.0052
ENSG00000211655	D5	D5/D6	IGLV1-36	0.002091	0.001792	0.001649	0.001844	0.119883	0.120008	0.115239	0.118376667	-6.004327103	Downregulate	0.0002
ENSG00000211660	D5	D5/D6	IGLV2-23	0.10808	0.095588	0.080296	0.094654667	10.428068	10.183771	10.951071	10.52097	-6.796383923	Downregulate	0.0005
ENSG00000211663	D5	D5/D6	IGLV3-19	0.007759	0.005285	0.004969	0.006004333	0.345223	0.332241	0.324165	0.333876333	-5.797229307	Downregulate	0.0003
ENSG00000211666	D5	D5/D6	IGLV2-14	0.084165	0.067087	0.073224	0.074825333	10.753244	10.702679	10.176715	10.54421267	-7.138708949	Downregulate	0.0003
ENSG00000211668	D5	D5/D6	IGLV2-11	0.001888	0.002407	0.002197	0.002164	0.011904	0.014357	0.014427	0.013562667	-2.647662198	Downregulate	0.0002
ENSG00000211670	D5	D5/D6	IGLV3-9	0.370977	0.446738	0.429193	0.415636	0.006585	0.007556	0.006289	0.00681	5.931546288	Upregulate	0.0031
ENSG00000211893	D5	D5/D6	IGHG2	0.360183	0.416042	0.265669	0.347298	7.322823	6.683482	8.939536	7.648613667	-4.460953918	Downregulate	0.0081
ENSG00000211895	D5	D5/D6	IGHA1	12.853595	12.076245	12.749776	12.559872	0.119477	0.117987	0.107224	0.114896	6.772350902	Upregulate	0.0004
ENSG00000211934	D5	D5/D6	IGHV1-2	0.14904	0.138414	0.12971	0.139054667	0.319075	0.305441	0.310802	0.311772667	-1.164840535	Downregulate	0
ENSG00000211935	D5	D5/D6	IGHV1-3	0.005329	0.004091	0.00646	0.005293333	0.111736	0.113981	0.172213	0.132643333	-4.647264129	Downregulate	0.0232
ENSG00000211943	D5	D5/D6	IGHV3-15	0.005778	0.004413	0.003826	0.004672333	0.089341	0.077727	0.074118	0.080395333	-4.10489587	Downregulate	0.0032
ENSG00000211945	D5	D5/D6	IGHV1-18	0.001243	0.001058	0.00116	0.001153667	2.287545	2.254957	2.021884	2.188128667	-10.88904512	Downregulate	0.0015
ENSG00000211947	D5	D5/D6	IGHV3-21	0.256335	0.257367	0.277604	0.263768667	0.01386	0.016435	0.015431	0.015242	4.113136941	Upregulate	0.0007
ENSG00000211950	D5	D5/D6	IGHV1-24	0.03378	0.0417	0.034261	0.036580333	0.001289	0.001464	0.001207	0.00132	4.792270324	Upregulate	0.0052
ENSG00000211959	D5	D5/D6	IGHV4-39	0.020577	0.028203	0.024508	0.024429333	2.412452	2.571482	2.673816	2.552583333	-6.707188936	Downregulate	0.0009
ENSG00000211970	D5	D5/D6	IGHV4-61	0.044026	0.041318	0.047163	0.044169	4.828918	4.734132	4.682244	4.748431333	-6.748277057	Downregulate	0.0001
ENSG00000211973	D5	D5/D6	IGHV1-69	0.001459	0.001456	0.00174	0.001551667	1.63902	1.639361	1.529154	1.602511667	-10.01243337	Downregulate	0.0005
ENSG00000224041	D5	D5/D6	IGKV3D-15	0.159689	0.136203	0.161034	0.152308667	1.231998	1.097864	0.95482	1.094894	-2.845723034	Downregulate	0.0067
ENSG00000224373	D5	D5/D6	IGHV4-59	0.022073	0.026516	0.026264	0.024951	0.532025	0.479255	0.559328	0.523536	-4.391107559	Downregulate	0.0021
ENSG00000224559	D5	D5/D6	LINC01087	0.004357	0.004094	0.004553	0.004334667	0.004309	0.004225	0.004256	0.004263333	0.023949058	NonDE	0.6251
ENSG00000224650	D5	D5/D6	IGHV3-74	0.028999	0.03364	0.034065	0.032234667	0.127523	0.120385	0.122024	0.123310667	-1.935614939	Downregulate	0
ENSG00000231475	D5	D5/D6	IGHV4-31	0.039462	0.045582	0.045639	0.043561	1.36188	1.294415	1.143218	1.266504333	-4.86168006	Downregulate	0.0028
ENSG00000235244	D5	D5/D6	DANT2	0.000164	0.000192	0.00018	0.000178667	0.000789	0.000767	0.000811	0.000789	-2.141582127	Downregulate	0
ENSG00000236081	D5	D5/D6	ELFN1-AS1	0.002207	0.001758	0.001641	0.001868667	0.009178	0.00795	0.008043	0.008390333	-2.166620091	Downregulate	0.0001
ENSG00000239951	D5	D5/D6	IGKV3-20	0.149955	0.181017	0.186856	0.172609333	1.918174	1.814074	1.49302	1.741756	-3.334959014	Downregulate	0.0063
ENSG00000239975	D5	D5/D6	IGKV1D-33	0.153088	0.142915	0.153449	0.149817333	0.416888	0.423529	0.420429	0.420282	-1.488151496	Downregulate	0
ENSG00000242076	D5	D5/D6	IGKV1-33	0.039244	0.041758	0.03396	0.038320667	0.576143	0.554439	0.572957	0.567846333	-3.889304902	Downregulate	0
ENSG00000243238	D5	D5/D6	IGKV2-30	0.306218	0.314893	0.316315	0.312475333	0.005433	0.005394	0.005402	0.005409667	5.852107808	Upregulate	0.0001
ENSG00000243290	D5	D5/D6	IGKV1-12	0.000359	0.000386	0.000307	0.000350667	0.149253	0.162954	0.156843	0.15635	-8.79709057	Downregulate	0.028
ENSG00000243466	D5	D5/D6	IGKV1-5	0.052736	0.052032	0.054941	0.053236333	1.887836	1.987333	1.711704	1.862291	-5.128523892	Downregulate	0.002
ENSG00000244116	D5	D5/D6	IGKV2-28	0.002638	0.002745	0.002736	0.002706333	0.017933	0.017344	0.018491	0.017922667	-2.727462865	Downregulate	0.0004
ENSG00000244437	D5	D5/D6	IGKV3-15	0.09195	0.091163	0.089405	0.090839333	0.501643	0.403554	0.532308	0.479168333	-2.39913861	Downregulate	0.0098
ENSG00000254319	D5	D5/D6	LINC03021	0.001652	0.001537	0.001292	0.001493667	0.011197	0.009305	0.010284	0.010262	-2.780333674	Downregulate	0.0001
ENSG00000260896	D5	D5/D6	ARLNC1	0.032392	0.030628	0.032388	0.031802667	0.005469	0.005294	0.005082	0.005281667	2.590148776	Upregulate	0
ENSG00000000938	F7	F7/D6	FGR	0.368176	0.387688	0.378159	0.378007667	0.385446	0.360008	0.391369	0.378941	-0.003556884	NonDE	0.9373
ENSG00000014257	F7	F7/D6	ACP3	0.001243	0.001149	0.001331	0.001241	0.005385	0.005385	0.004763	0.005177667	-2.060744108	Downregulate	0.0001
ENSG00000049247	F7	F7/D6	UTS2	0.000919	0.001221	0.000966	0.001035333	0.010829	0.009281	0.009097	0.009735667	-3.233267877	Downregulate	0.0001
ENSG00000056558	F7	F7/D6	TRAF1	1.061865	1.013397	1.055407	1.043556333	0.940457	0.916453	0.897531	0.918147	0.184711779	NonDE	0.0031
ENSG00000064300	F7	F7/D6	NGFR	0.001673	0.001487	0.00173	0.00163	0.000589	0.000698	0.00067	0.000652333	1.32139904	Upregulate	0.0003
ENSG00000064655	F7	F7/D6	EYA2	0.001848	0.0017	0.001353	0.001633667	0.01311	0.011904	0.011459	0.012157667	-2.895690899	Downregulate	0
ENSG00000066923	F7	F7/D6	STAG3	0.350544	0.34967	0.387016	0.36241	0.339018	0.394948	0.366614	0.36686	-0.01760556	NonDE	0.8372
ENSG00000071575	F7	F7/D6	TRIB2	0.007556	0.00769	0.007031	0.007425667	0.01165	0.00941	0.009395	0.010151667	-0.451126328	NonDE	0.0246
ENSG00000075275	F7	F7/D6	CELSR1	0.004866	0.004395	0.003928	0.004396333	0.005167	0.004292	0.003996	0.004485	-0.028761451	NonDE	0.8516
ENSG00000076356	F7	F7/D6	PLXNA2	0.000871	0.000978	0.000989	0.000946	0.001099	0.001022	0.001003	0.001041333	-0.139128964	NonDE	0.1158
ENSG00000089199	F7	F7/D6	CHGB	0.000095	0.000079	0.000065	7.96667E-05	0.000115	0.000091	0.000093	9.96667E-05	-0.324462391	NonDE	0.1531
ENSG00000100433	F7	F7/D6	KCNK10	0.000989	0.001081	0.000906	0.000992	0.001063	0.000969	0.001271	0.001101	-0.148318481	NonDE	0.4757
ENSG00000106004	F7	F7/D6	HOXA5	0.001035	0.000703	0.000503	0.000747	0.000659	0.000724	0.000568	0.000650333	0.199896685	NonDE	0.5819
ENSG00000108381	F7	F7/D6	ASPA	0.009542	0.008933	0.009805	0.009426667	0.007739	0.008378	0.008898	0.008338333	0.17695195	NonDE	0.0618
ENSG00000108821	F7	F7/D6	COL1A1	0.016445	0.016693	0.017489	0.016875667	0.012439	0.011708	0.011521	0.011889333	0.505307449	NonDE	0.0003
ENSG00000108984	F7	F7/D6	MAP2K6	0.135281	0.125541	0.141565	0.134129	0.101604	0.132488	0.121139	0.118410333	0.17982627	NonDE	0.1965
ENSG00000109158	F7	F7/D6	GABRA4	0.002134	0.002513	0.002402	0.002349667	0.002049	0.002177	0.002191	0.002139	0.135632421	NonDE	0.1566
ENSG00000115604	F7	F7/D6	IL18R1	0.191056	0.235772	0.227174	0.218000667	0.094047	0.111509	0.08836	0.097972	1.153888995	Upregulate	0.0015
